shipment_id,origin,destination,distance_km,carrier,mode,order_date,expected_delivery_date,delivered_date,weather_severity,traffic_condition
SHP100042,Kolkata,Pune,193,BlueDart,Air,2024-08-11,2024-08-17,2024-08-18,3,2
SHP100043,Bangalore,Mumbai,2016,FedEx,Air,2024-08-07,2024-08-13,2024-08-16,0,1
SHP100044,Delhi,Bangalore,1641,EcomExpress,Rail,2024-07-08,2024-07-11,2024-07-11,1,4
SHP100045,Mumbai,Delhi,972,FedEx,Rail,2024-01-19,2024-01-21,2024-01-24,2,3
SHP100046,Ahmedabad,Bangalore,2192,FedEx,Air,2024-08-04,2024-08-07,2024-08-09,0,4
SHP100047,Kolkata,Delhi,531,Delhivery,Air,2024-09-21,2024-09-24,2024-09-26,2,1
SHP100048,Mumbai,Delhi,2287,EcomExpress,Truck,2024-07-27,2024-07-30,2024-08-02,3,3
SHP100049,Mumbai,Chennai,158,DHL,Truck,2024-08-12,2024-08-15,2024-08-16,2,3
SHP100050,Kolkata,Hyderabad,741,BlueDart,Air,2024-04-09,2024-04-15,2024-04-15,0,1
SHP100051,Kolkata,Pune,1763,DHL,Rail,2024-09-02,2024-09-08,2024-09-08,2,1
SHP100052,Pune,Mumbai,195,BlueDart,Truck,2024-06-27,2024-07-04,2024-07-05,1,1
SHP100053,Ahmedabad,Kolkata,2190,FedEx,Rail,2024-03-03,2024-03-10,2024-03-11,2,3
SHP100054,Ahmedabad,Mumbai,704,DHL,Rail,2024-04-07,2024-04-14,2024-04-14,2,3
SHP100055,Delhi,Bangalore,1585,Delhivery,Rail,2024-09-24,2024-09-30,2024-10-02,0,4
SHP100056,Ahmedabad,Bangalore,1982,FedEx,Truck,2024-06-16,2024-06-23,2024-06-25,3,1
SHP100057,Mumbai,Chennai,447,DHL,Air,2024-05-27,2024-06-03,2024-06-05,0,5
SHP100058,Ahmedabad,Chennai,1704,Delhivery,Air,2024-09-19,2024-09-22,2024-09-22,3,5
SHP100059,Hyderabad,Pune,1233,FedEx,Air,2024-03-12,2024-03-19,2024-03-22,2,2
SHP100060,Chennai,Hyderabad,1669,Delhivery,Rail,2024-03-26,2024-03-30,2024-03-30,2,4
SHP100061,Hyderabad,Delhi,925,FedEx,Rail,2024-07-16,2024-07-21,2024-07-23,0,3
SHP100062,Bangalore,Ahmedabad,1077,Delhivery,Rail,2024-09-03,2024-09-06,2024-09-09,2,4
SHP100063,Hyderabad,Ahmedabad,2215,BlueDart,Air,2024-05-18,2024-05-21,2024-05-21,3,5
SHP100064,Ahmedabad,Mumbai,548,BlueDart,Air,2024-06-29,2024-07-05,2024-07-07,3,3
SHP100065,Kolkata,Pune,1927,BlueDart,Air,2024-06-17,2024-06-20,2024-06-21,3,5
SHP100066,Kolkata,Ahmedabad,1939,DHL,Air,2024-10-16,2024-10-22,2024-10-24,3,1
SHP100067,Pune,Chennai,278,FedEx,Air,2024-06-29,2024-07-02,2024-07-02,1,4
SHP100068,Bangalore,Delhi,2293,EcomExpress,Rail,2024-06-25,2024-07-02,2024-07-02,2,5
SHP100069,Mumbai,Bangalore,269,DHL,Rail,2024-07-15,2024-07-18,2024-07-18,3,4
SHP100070,Kolkata,Pune,1956,Delhivery,Air,2024-05-03,2024-05-05,2024-05-05,1,5
SHP100071,Chennai,Delhi,241,FedEx,Truck,2024-08-01,2024-08-04,2024-08-04,1,1
SHP100072,Kolkata,Chennai,2386,BlueDart,Truck,2024-05-08,2024-05-09,2024-05-09,2,5
SHP100073,Hyderabad,Pune,705,EcomExpress,Rail,2024-01-06,2024-01-10,2024-01-10,1,3
SHP100074,Delhi,Chennai,1758,FedEx,Truck,2024-04-10,2024-04-11,2024-04-13,0,4
SHP100075,Mumbai,Pune,990,Delhivery,Air,2024-07-21,2024-07-23,2024-07-23,0,2
SHP100076,Pune,Bangalore,874,Delhivery,Air,2024-09-05,2024-09-06,2024-09-06,3,3
SHP100077,Hyderabad,Pune,1609,FedEx,Air,2024-02-08,2024-02-11,2024-02-11,2,5
SHP100078,Delhi,Chennai,963,FedEx,Rail,2024-05-24,2024-05-31,2024-06-03,1,5
SHP100079,Ahmedabad,Kolkata,2192,DHL,Rail,2024-02-03,2024-02-04,2024-02-04,1,5
SHP100080,Kolkata,Mumbai,1811,EcomExpress,Air,2024-10-05,2024-10-11,2024-10-11,0,4
SHP100081,Hyderabad,Bangalore,291,FedEx,Rail,2024-09-02,2024-09-03,2024-09-05,2,3
SHP100082,Chennai,Ahmedabad,2446,FedEx,Truck,2024-03-01,2024-03-05,2024-03-05,2,2
SHP100083,Bangalore,Ahmedabad,567,FedEx,Truck,2024-10-21,2024-10-23,2024-10-23,1,1
SHP100084,Pune,Kolkata,1299,DHL,Air,2024-03-23,2024-03-27,2024-03-28,0,3
SHP100085,Chennai,Pune,2372,DHL,Air,2024-10-09,2024-10-10,2024-10-13,1,1
SHP100086,Delhi,Bangalore,831,FedEx,Rail,2024-08-12,2024-08-15,2024-08-15,3,1
SHP100087,Ahmedabad,Chennai,726,Delhivery,Truck,2024-09-21,2024-09-24,2024-09-27,2,3
SHP100088,Kolkata,Bangalore,953,EcomExpress,Rail,2024-03-27,2024-04-02,2024-04-04,2,2
SHP100089,Bangalore,Hyderabad,2114,EcomExpress,Air,2024-03-05,2024-03-10,2024-03-13,2,5
SHP100090,Hyderabad,Ahmedabad,796,EcomExpress,Rail,2024-07-12,2024-07-15,2024-07-16,0,3
SHP100091,Hyderabad,Kolkata,1116,BlueDart,Air,2024-06-15,2024-06-21,2024-06-22,1,1
SHP100092,Kolkata,Pune,884,FedEx,Truck,2024-06-04,2024-06-09,2024-06-09,2,1
SHP100093,Bangalore,Ahmedabad,1527,EcomExpress,Air,2024-05-27,2024-05-31,2024-05-31,0,2
SHP100094,Kolkata,Pune,1901,Delhivery,Rail,2024-07-12,2024-07-17,2024-07-18,1,2
SHP100095,Delhi,Kolkata,1777,FedEx,Rail,2024-03-03,2024-03-10,2024-03-12,3,4
SHP100096,Kolkata,Delhi,365,DHL,Air,2024-03-23,2024-03-30,2024-03-30,2,2
SHP100097,Pune,Kolkata,2348,EcomExpress,Air,2024-02-05,2024-02-12,2024-02-15,2,3
SHP100098,Pune,Mumbai,434,FedEx,Truck,2024-02-10,2024-02-13,2024-02-16,3,1
SHP100099,Hyderabad,Bangalore,606,DHL,Truck,2024-02-23,2024-03-01,2024-03-01,0,3
SHP100100,Mumbai,Chennai,382,Delhivery,Air,2024-06-04,2024-06-11,2024-06-14,3,2
SHP100101,Delhi,Chennai,2025,DHL,Air,2024-10-06,2024-10-13,2024-10-13,0,2
SHP100102,Hyderabad,Ahmedabad,2288,EcomExpress,Air,2024-08-02,2024-08-04,2024-08-05,2,2
SHP100103,Ahmedabad,Chennai,439,DHL,Rail,2024-07-20,2024-07-23,2024-07-23,3,3
SHP100104,Hyderabad,Bangalore,805,Delhivery,Air,2024-01-03,2024-01-10,2024-01-12,3,4
SHP100105,Bangalore,Ahmedabad,1131,EcomExpress,Rail,2024-03-29,2024-04-04,2024-04-05,1,1
SHP100106,Hyderabad,Kolkata,283,BlueDart,Truck,2024-10-04,2024-10-08,2024-10-09,0,5
SHP100107,Bangalore,Hyderabad,1782,DHL,Truck,2024-10-17,2024-10-18,2024-10-19,1,2
SHP100108,Kolkata,Hyderabad,843,EcomExpress,Rail,2024-04-26,2024-05-01,2024-05-01,0,4
SHP100109,Pune,Kolkata,2493,BlueDart,Rail,2024-01-22,2024-01-24,2024-01-24,0,3
SHP100110,Delhi,Kolkata,694,EcomExpress,Rail,2024-08-12,2024-08-14,2024-08-17,0,3
SHP100111,Delhi,Ahmedabad,785,FedEx,Rail,2024-06-05,2024-06-11,2024-06-11,3,1
SHP100112,Pune,Kolkata,1879,DHL,Air,2024-01-09,2024-01-15,2024-01-15,0,3
SHP100113,Hyderabad,Delhi,366,FedEx,Truck,2024-09-05,2024-09-07,2024-09-09,1,2
SHP100114,Kolkata,Ahmedabad,467,Delhivery,Truck,2024-05-17,2024-05-18,2024-05-18,0,5
SHP100115,Hyderabad,Delhi,400,BlueDart,Truck,2024-10-17,2024-10-21,2024-10-21,2,2
SHP100116,Delhi,Pune,2099,BlueDart,Air,2024-03-27,2024-03-31,2024-03-31,3,4
SHP100117,Bangalore,Mumbai,1633,BlueDart,Rail,2024-04-07,2024-04-11,2024-04-11,3,4
SHP100118,Chennai,Hyderabad,384,EcomExpress,Air,2024-08-11,2024-08-15,2024-08-15,2,4
SHP100119,Bangalore,Hyderabad,802,Delhivery,Air,2024-04-17,2024-04-23,2024-04-23,0,5
SHP100120,Pune,Chennai,604,FedEx,Truck,2024-06-03,2024-06-06,2024-06-06,0,5
SHP100121,Mumbai,Delhi,1603,FedEx,Air,2024-10-18,2024-10-24,2024-10-24,3,5
SHP100122,Pune,Kolkata,1930,EcomExpress,Air,2024-03-09,2024-03-12,2024-03-12,3,1
SHP100123,Chennai,Ahmedabad,1301,BlueDart,Truck,2024-07-31,2024-08-05,2024-08-05,3,5
SHP100124,Mumbai,Bangalore,2327,EcomExpress,Air,2024-01-04,2024-01-05,2024-01-05,1,3
SHP100125,Pune,Bangalore,1124,Delhivery,Rail,2024-03-05,2024-03-12,2024-03-13,0,1
SHP100126,Hyderabad,Ahmedabad,1193,DHL,Rail,2024-06-12,2024-06-17,2024-06-19,1,4
SHP100127,Ahmedabad,Pune,1257,EcomExpress,Truck,2024-08-23,2024-08-27,2024-08-27,1,2
SHP100128,Bangalore,Chennai,1933,EcomExpress,Rail,2024-07-01,2024-07-06,2024-07-06,3,1
SHP100129,Kolkata,Mumbai,1547,DHL,Truck,2024-03-07,2024-03-11,2024-03-12,3,3
SHP100130,Kolkata,Pune,956,DHL,Air,2024-07-04,2024-07-07,2024-07-10,1,3
SHP100131,Chennai,Mumbai,2481,Delhivery,Truck,2024-02-27,2024-03-01,2024-03-03,3,4
SHP100132,Pune,Chennai,1954,BlueDart,Truck,2024-06-13,2024-06-16,2024-06-17,2,4
SHP100133,Kolkata,Ahmedabad,162,FedEx,Truck,2024-05-12,2024-05-15,2024-05-15,3,2
SHP100134,Delhi,Chennai,815,EcomExpress,Truck,2024-09-03,2024-09-06,2024-09-08,2,2
SHP100135,Ahmedabad,Hyderabad,1109,BlueDart,Truck,2024-03-02,2024-03-06,2024-03-06,2,3
SHP100136,Chennai,Hyderabad,292,Delhivery,Rail,2024-02-09,2024-02-16,2024-02-17,0,5
SHP100137,Chennai,Delhi,1570,EcomExpress,Air,2024-06-30,2024-07-03,2024-07-05,1,4
SHP100138,Mumbai,Chennai,2213,BlueDart,Air,2024-10-06,2024-10-10,2024-10-13,2,3
SHP100139,Pune,Ahmedabad,2219,EcomExpress,Rail,2024-10-08,2024-10-11,2024-10-11,0,5
SHP100140,Delhi,Pune,636,EcomExpress,Air,2024-09-03,2024-09-08,2024-09-09,2,3
SHP100141,Kolkata,Bangalore,2224,EcomExpress,Truck,2024-08-24,2024-08-25,2024-08-25,0,5
SHP100142,Ahmedabad,Pune,2364,Delhivery,Rail,2024-05-21,2024-05-22,2024-05-24,3,3
SHP100143,Ahmedabad,Bangalore,670,BlueDart,Air,2024-02-22,2024-02-25,2024-02-25,1,2
SHP100144,Delhi,Pune,581,BlueDart,Truck,2024-10-18,2024-10-22,2024-10-25,2,2
SHP100145,Bangalore,Chennai,2028,Delhivery,Truck,2024-03-26,2024-03-27,2024-03-29,0,2
SHP100146,Mumbai,Hyderabad,1360,BlueDart,Truck,2024-03-16,2024-03-20,2024-03-21,3,3
SHP100147,Bangalore,Hyderabad,1910,FedEx,Air,2024-08-23,2024-08-25,2024-08-27,1,2
SHP100148,Delhi,Mumbai,157,EcomExpress,Truck,2024-08-17,2024-08-23,2024-08-23,3,5
SHP100149,Ahmedabad,Delhi,1759,BlueDart,Air,2024-08-17,2024-08-23,2024-08-23,1,2
SHP100150,Kolkata,Hyderabad,1775,Delhivery,Truck,2024-06-27,2024-06-30,2024-07-03,3,5
SHP100151,Bangalore,Pune,447,EcomExpress,Rail,2024-02-02,2024-02-05,2024-02-07,0,4
SHP100152,Pune,Bangalore,1454,BlueDart,Truck,2024-02-17,2024-02-24,2024-02-25,3,5
SHP100153,Ahmedabad,Pune,1557,Delhivery,Rail,2024-08-31,2024-09-06,2024-09-08,3,5
SHP100154,Hyderabad,Kolkata,1276,FedEx,Truck,2024-05-16,2024-05-17,2024-05-17,3,5
SHP100155,Delhi,Kolkata,1535,DHL,Air,2024-05-23,2024-05-26,2024-05-29,1,5
SHP100156,Hyderabad,Chennai,1671,BlueDart,Rail,2024-09-10,2024-09-16,2024-09-16,2,4
SHP100157,Chennai,Mumbai,1024,BlueDart,Air,2024-05-04,2024-05-09,2024-05-12,3,5
SHP100158,Bangalore,Kolkata,1440,Delhivery,Air,2024-06-25,2024-07-02,2024-07-02,1,3
SHP100159,Ahmedabad,Pune,2322,FedEx,Air,2024-01-16,2024-01-22,2024-01-22,1,1
SHP100160,Chennai,Hyderabad,216,Delhivery,Truck,2024-09-30,2024-10-03,2024-10-05,2,4
SHP100161,Mumbai,Hyderabad,148,EcomExpress,Truck,2024-08-23,2024-08-29,2024-09-01,1,3
SHP100162,Delhi,Bangalore,639,BlueDart,Truck,2024-10-23,2024-10-25,2024-10-25,2,1
SHP100163,Delhi,Kolkata,930,BlueDart,Air,2024-10-25,2024-10-26,2024-10-29,3,1
SHP100164,Delhi,Ahmedabad,2367,Delhivery,Air,2024-01-12,2024-01-14,2024-01-17,2,1
SHP100165,Ahmedabad,Kolkata,1637,EcomExpress,Rail,2024-06-17,2024-06-23,2024-06-25,1,4
SHP100166,Ahmedabad,Pune,202,EcomExpress,Truck,2024-08-25,2024-08-31,2024-09-03,3,3
SHP100167,Mumbai,Delhi,742,FedEx,Truck,2024-04-08,2024-04-10,2024-04-12,0,1
SHP100168,Pune,Ahmedabad,1987,FedEx,Truck,2024-06-25,2024-06-27,2024-06-29,0,5
SHP100169,Delhi,Kolkata,1214,DHL,Rail,2024-01-08,2024-01-09,2024-01-10,2,2
SHP100170,Delhi,Pune,648,FedEx,Truck,2024-03-12,2024-03-17,2024-03-17,0,4
SHP100171,Ahmedabad,Kolkata,1252,EcomExpress,Rail,2024-03-11,2024-03-14,2024-03-17,1,3
SHP100172,Kolkata,Chennai,1471,FedEx,Rail,2024-08-06,2024-08-12,2024-08-15,2,3
SHP100173,Bangalore,Mumbai,2497,EcomExpress,Rail,2024-07-03,2024-07-06,2024-07-06,0,3
SHP100174,Pune,Hyderabad,1422,DHL,Rail,2024-06-20,2024-06-23,2024-06-23,0,4
SHP100175,Bangalore,Kolkata,1802,Delhivery,Truck,2024-03-10,2024-03-11,2024-03-11,0,5
SHP100176,Bangalore,Pune,965,DHL,Truck,2024-08-05,2024-08-09,2024-08-09,3,4
SHP100177,Delhi,Pune,2042,DHL,Truck,2024-03-13,2024-03-18,2024-03-18,3,4
SHP100178,Hyderabad,Ahmedabad,113,BlueDart,Air,2024-01-24,2024-01-26,2024-01-26,3,1
SHP100179,Kolkata,Chennai,794,FedEx,Air,2024-05-23,2024-05-28,2024-05-30,3,4
SHP100180,Delhi,Pune,407,BlueDart,Truck,2024-05-08,2024-05-10,2024-05-12,3,5
SHP100181,Ahmedabad,Bangalore,1298,FedEx,Air,2024-08-27,2024-09-02,2024-09-02,2,3
SHP100182,Ahmedabad,Bangalore,1255,BlueDart,Rail,2024-06-18,2024-06-24,2024-06-24,1,3
SHP100183,Ahmedabad,Mumbai,1421,Delhivery,Rail,2024-08-24,2024-08-26,2024-08-26,1,2
SHP100184,Ahmedabad,Chennai,1940,Delhivery,Truck,2024-10-25,2024-10-27,2024-10-30,0,5
SHP100185,Ahmedabad,Delhi,620,BlueDart,Rail,2024-01-22,2024-01-26,2024-01-27,0,5
SHP100186,Bangalore,Delhi,2208,DHL,Rail,2024-09-11,2024-09-16,2024-09-16,2,1
SHP100187,Mumbai,Ahmedabad,1252,DHL,Rail,2024-04-17,2024-04-20,2024-04-20,0,2
SHP100188,Delhi,Chennai,692,BlueDart,Rail,2024-02-16,2024-02-20,2024-02-20,0,2
SHP100189,Delhi,Mumbai,1116,Delhivery,Truck,2024-05-11,2024-05-15,2024-05-18,2,5
SHP100190,Kolkata,Ahmedabad,1112,BlueDart,Truck,2024-10-25,2024-10-30,2024-11-02,1,1
SHP100191,Mumbai,Chennai,1021,EcomExpress,Air,2024-06-19,2024-06-23,2024-06-23,2,2
SHP100192,Mumbai,Delhi,1783,EcomExpress,Rail,2024-10-19,2024-10-26,2024-10-29,0,5
SHP100193,Hyderabad,Bangalore,2361,EcomExpress,Rail,2024-07-30,2024-07-31,2024-07-31,2,5
SHP100194,Kolkata,Ahmedabad,2352,Delhivery,Rail,2024-01-13,2024-01-17,2024-01-17,2,1
SHP100195,Kolkata,Ahmedabad,2296,FedEx,Truck,2024-06-07,2024-06-13,2024-06-16,3,4
SHP100196,Ahmedabad,Kolkata,2442,BlueDart,Rail,2024-09-04,2024-09-11,2024-09-11,1,4
SHP100197,Mumbai,Bangalore,384,EcomExpress,Rail,2024-05-18,2024-05-20,2024-05-20,1,5
SHP100198,Chennai,Mumbai,1747,DHL,Rail,2024-05-14,2024-05-19,2024-05-22,2,3
SHP100199,Ahmedabad,Kolkata,1085,Delhivery,Rail,2024-10-07,2024-10-09,2024-10-12,3,2
SHP100200,Bangalore,Pune,536,BlueDart,Air,2024-05-31,2024-06-04,2024-06-04,1,2
SHP100201,Ahmedabad,Mumbai,108,Delhivery,Rail,2024-05-28,2024-06-02,2024-06-03,1,1
SHP100202,Hyderabad,Mumbai,1028,FedEx,Truck,2024-06-30,2024-07-07,2024-07-10,1,5
SHP100203,Chennai,Delhi,797,DHL,Rail,2024-01-16,2024-01-23,2024-01-23,1,2
SHP100204,Delhi,Mumbai,1049,Delhivery,Air,2024-08-27,2024-08-29,2024-08-30,2,5
SHP100205,Ahmedabad,Kolkata,1463,FedEx,Truck,2024-10-08,2024-10-10,2024-10-12,3,4
SHP100206,Kolkata,Chennai,518,EcomExpress,Truck,2024-03-25,2024-03-26,2024-03-26,1,2
SHP100207,Delhi,Chennai,904,Delhivery,Rail,2024-02-22,2024-02-26,2024-02-29,2,2
SHP100208,Mumbai,Kolkata,766,EcomExpress,Truck,2024-05-23,2024-05-27,2024-05-27,1,3
SHP100209,Ahmedabad,Bangalore,432,FedEx,Truck,2024-06-30,2024-07-06,2024-07-08,3,4
SHP100210,Hyderabad,Bangalore,414,EcomExpress,Rail,2024-07-28,2024-08-02,2024-08-03,2,5
SHP100211,Kolkata,Mumbai,485,FedEx,Air,2024-10-23,2024-10-27,2024-10-29,0,1
SHP100212,Kolkata,Chennai,2133,FedEx,Truck,2024-04-16,2024-04-21,2024-04-21,1,3
SHP100213,Bangalore,Delhi,1123,EcomExpress,Rail,2024-08-18,2024-08-23,2024-08-24,2,1
SHP100214,Chennai,Hyderabad,2042,EcomExpress,Truck,2024-09-17,2024-09-20,2024-09-20,1,5
SHP100215,Kolkata,Chennai,1687,BlueDart,Rail,2024-10-16,2024-10-21,2024-10-22,3,3
SHP100216,Delhi,Pune,1936,BlueDart,Truck,2024-03-18,2024-03-20,2024-03-23,1,4
SHP100217,Chennai,Mumbai,1720,BlueDart,Air,2024-01-21,2024-01-28,2024-01-30,1,5
SHP100218,Kolkata,Hyderabad,2227,DHL,Air,2024-01-25,2024-01-31,2024-02-03,3,2
SHP100219,Chennai,Mumbai,467,DHL,Truck,2024-04-17,2024-04-18,2024-04-19,3,4
SHP100220,Delhi,Chennai,1434,FedEx,Air,2024-01-01,2024-01-08,2024-01-08,2,4
SHP100221,Delhi,Chennai,1362,DHL,Truck,2024-06-17,2024-06-22,2024-06-22,0,2
SHP100222,Bangalore,Mumbai,617,Delhivery,Rail,2024-01-13,2024-01-16,2024-01-16,1,4
SHP100223,Pune,Delhi,1293,FedEx,Rail,2024-04-02,2024-04-07,2024-04-09,1,1
SHP100224,Ahmedabad,Delhi,976,DHL,Rail,2024-02-20,2024-02-23,2024-02-23,3,3
SHP100225,Pune,Mumbai,1751,BlueDart,Air,2024-04-27,2024-04-30,2024-04-30,3,3
SHP100226,Chennai,Ahmedabad,911,DHL,Air,2024-07-30,2024-08-02,2024-08-02,3,3
SHP100227,Bangalore,Chennai,786,BlueDart,Truck,2024-06-21,2024-06-26,2024-06-26,0,3
SHP100228,Chennai,Delhi,353,BlueDart,Air,2024-10-25,2024-10-27,2024-10-27,3,1
SHP100229,Bangalore,Pune,1778,Delhivery,Air,2024-07-08,2024-07-09,2024-07-09,0,1
SHP100230,Delhi,Hyderabad,2250,DHL,Truck,2024-03-12,2024-03-14,2024-03-16,0,3
SHP100231,Chennai,Mumbai,376,Delhivery,Truck,2024-05-05,2024-05-07,2024-05-08,2,1
SHP100232,Bangalore,Hyderabad,2021,DHL,Air,2024-02-16,2024-02-17,2024-02-18,0,1
SHP100233,Delhi,Pune,1552,FedEx,Rail,2024-09-24,2024-09-26,2024-09-27,1,2
SHP100234,Bangalore,Mumbai,660,FedEx,Truck,2024-02-05,2024-02-10,2024-02-10,0,1
SHP100235,Kolkata,Mumbai,523,Delhivery,Rail,2024-06-22,2024-06-25,2024-06-25,2,1
SHP100236,Kolkata,Mumbai,424,BlueDart,Truck,2024-03-26,2024-03-29,2024-03-29,0,5
SHP100237,Ahmedabad,Delhi,1370,DHL,Air,2024-05-04,2024-05-07,2024-05-08,1,5
SHP100238,Pune,Ahmedabad,884,EcomExpress,Truck,2024-10-24,2024-10-25,2024-10-25,2,4
SHP100239,Delhi,Chennai,1544,FedEx,Truck,2024-08-19,2024-08-20,2024-08-21,1,1
SHP100240,Ahmedabad,Delhi,2037,FedEx,Rail,2024-01-03,2024-01-08,2024-01-09,0,5
SHP100241,Delhi,Hyderabad,1191,EcomExpress,Rail,2024-07-30,2024-08-03,2024-08-06,3,5
SHP100242,Bangalore,Hyderabad,1944,DHL,Rail,2024-04-15,2024-04-16,2024-04-18,2,4
SHP100243,Delhi,Bangalore,2238,Delhivery,Rail,2024-05-21,2024-05-27,2024-05-27,1,1
SHP100244,Pune,Chennai,1880,DHL,Air,2024-08-20,2024-08-26,2024-08-28,0,1
SHP100245,Mumbai,Chennai,1928,EcomExpress,Truck,2024-06-12,2024-06-18,2024-06-18,1,3
SHP100246,Chennai,Mumbai,1347,FedEx,Truck,2024-07-13,2024-07-17,2024-07-19,2,5
SHP100247,Hyderabad,Kolkata,2328,FedEx,Rail,2024-03-29,2024-04-03,2024-04-04,2,2
SHP100248,Mumbai,Bangalore,1127,DHL,Truck,2024-08-01,2024-08-04,2024-08-04,0,1
SHP100249,Hyderabad,Bangalore,1576,FedEx,Rail,2024-09-24,2024-09-26,2024-09-27,0,4
SHP100250,Mumbai,Chennai,1780,EcomExpress,Rail,2024-10-16,2024-10-17,2024-10-19,0,5
SHP100251,Mumbai,Bangalore,2310,EcomExpress,Air,2024-06-22,2024-06-27,2024-06-29,1,4
SHP100252,Bangalore,Kolkata,1087,FedEx,Rail,2024-09-16,2024-09-21,2024-09-23,0,2
SHP100253,Chennai,Mumbai,2272,Delhivery,Truck,2024-02-27,2024-03-01,2024-03-01,0,5
